# ----------------------------------------
# 1 Master View
# Обзор аудитории
# 20190427-20190503
# ----------------------------------------

Индекс часа,Диапазон дат,Сегмент,Просмотры страниц
000000,27.04.2019 - 03.05.2019,Трафик с мобильных устройств,69
000000,27.04.2019 - 03.05.2019,Трафик с планшетных ПК,0
000000,27.04.2019 - 03.05.2019,Новые пользователи,154
000001,27.04.2019 - 03.05.2019,Трафик с мобильных устройств,52
000001,27.04.2019 - 03.05.2019,Трафик с планшетных ПК,0
000001,27.04.2019 - 03.05.2019,Новые пользователи,262
000002,27.04.2019 - 03.05.2019,Трафик с мобильных устройств,95
000002,27.04.2019 - 03.05.2019,Трафик с планшетных ПК,1
000002,27.04.2019 - 03.05.2019,Новые пользователи,165
000003,27.04.2019 - 03.05.2019,Трафик с мобильных устройств,68
000003,27.04.2019 - 03.05.2019,Трафик с планшетных ПК,2
000003,27.04.2019 - 03.05.2019,Новые пользователи,206
000004,27.04.2019 - 03.05.2019,Трафик с мобильных устройств,88
000004,27.04.2019 - 03.05.2019,Трафик с планшетных ПК,20
000004,27.04.2019 - 03.05.2019,Новые пользователи,142
000005,27.04.2019 - 03.05.2019,Трафик с мобильных устройств,103
000005,27.04.2019 - 03.05.2019,Трафик с планшетных ПК,10
000005,27.04.2019 - 03.05.2019,Новые пользователи,114
000006,27.04.2019 - 03.05.2019,Трафик с мобильных устройств,74
000006,27.04.2019 - 03.05.2019,Трафик с планшетных ПК,26
000006,27.04.2019 - 03.05.2019,Новые пользователи,170
000007,27.04.2019 - 03.05.2019,Трафик с мобильных устройств,149
000007,27.04.2019 - 03.05.2019,Трафик с планшетных ПК,1
000007,27.04.2019 - 03.05.2019,Новые пользователи,181
000008,27.04.2019 - 03.05.2019,Трафик с мобильных устройств,101
000008,27.04.2019 - 03.05.2019,Трафик с планшетных ПК,12
000008,27.04.2019 - 03.05.2019,Новые пользователи,220
000009,27.04.2019 - 03.05.2019,Трафик с мобильных устройств,134
000009,27.04.2019 - 03.05.2019,Трафик с планшетных ПК,17
000009,27.04.2019 - 03.05.2019,Новые пользователи,166
000010,27.04.2019 - 03.05.2019,Трафик с мобильных устройств,70
000010,27.04.2019 - 03.05.2019,Трафик с планшетных ПК,29
000010,27.04.2019 - 03.05.2019,Новые пользователи,238
000011,27.04.2019 - 03.05.2019,Трафик с мобильных устройств,118
000011,27.04.2019 - 03.05.2019,Трафик с планшетных ПК,31
000011,27.04.2019 - 03.05.2019,Новые пользователи,212
000012,27.04.2019 - 03.05.2019,Трафик с мобильных устройств,81
000012,27.04.2019 - 03.05.2019,Трафик с планшетных ПК,31
000012,27.04.2019 - 03.05.2019,Новые пользователи,213
000013,27.04.2019 - 03.05.2019,Трафик с мобильных устройств,124
000013,27.04.2019 - 03.05.2019,Трафик с планшетных ПК,26
000013,27.04.2019 - 03.05.2019,Новые пользователи,222
000014,27.04.2019 - 03.05.2019,Трафик с мобильных устройств,74
000014,27.04.2019 - 03.05.2019,Трафик с планшетных ПК,0
000014,27.04.2019 - 03.05.2019,Новые пользователи,111
000015,27.04.2019 - 03.05.2019,Трафик с мобильных устройств,122
000015,27.04.2019 - 03.05.2019,Трафик с планшетных ПК,0
000015,27.04.2019 - 03.05.2019,Новые пользователи,219
000016,27.04.2019 - 03.05.2019,Трафик с мобильных устройств,78
000016,27.04.2019 - 03.05.2019,Трафик с планшетных ПК,11
000016,27.04.2019 - 03.05.2019,Новые пользователи,165
000017,27.04.2019 - 03.05.2019,Трафик с мобильных устройств,133
000017,27.04.2019 - 03.05.2019,Трафик с планшетных ПК,3
000017,27.04.2019 - 03.05.2019,Новые пользователи,203
000018,27.04.2019 - 03.05.2019,Трафик с мобильных устройств,52
000018,27.04.2019 - 03.05.2019,Трафик с планшетных ПК,24
000018,27.04.2019 - 03.05.2019,Новые пользователи,127
000019,27.04.2019 - 03.05.2019,Трафик с мобильных устройств,186
000019,27.04.2019 - 03.05.2019,Трафик с планшетных ПК,7
000019,27.04.2019 - 03.05.2019,Новые пользователи,346
000020,27.04.2019 - 03.05.2019,Трафик с мобильных устройств,70
000020,27.04.2019 - 03.05.2019,Трафик с планшетных ПК,41
000020,27.04.2019 - 03.05.2019,Новые пользователи,208
000021,27.04.2019 - 03.05.2019,Трафик с мобильных устройств,159
000021,27.04.2019 - 03.05.2019,Трафик с планшетных ПК,24
000021,27.04.2019 - 03.05.2019,Новые пользователи,216
000022,27.04.2019 - 03.05.2019,Трафик с мобильных устройств,48
000022,27.04.2019 - 03.05.2019,Трафик с планшетных ПК,6
000022,27.04.2019 - 03.05.2019,Новые пользователи,215
000023,27.04.2019 - 03.05.2019,Трафик с мобильных устройств,86
000023,27.04.2019 - 03.05.2019,Трафик с планшетных ПК,4
000023,27.04.2019 - 03.05.2019,Новые пользователи,157
000024,27.04.2019 - 03.05.2019,Трафик с мобильных устройств,95
000024,27.04.2019 - 03.05.2019,Трафик с планшетных ПК,1
000024,27.04.2019 - 03.05.2019,Новые пользователи,119
000025,27.04.2019 - 03.05.2019,Трафик с мобильных устройств,85
000025,27.04.2019 - 03.05.2019,Трафик с планшетных ПК,9
000025,27.04.2019 - 03.05.2019,Новые пользователи,312
000026,27.04.2019 - 03.05.2019,Трафик с мобильных устройств,91
000026,27.04.2019 - 03.05.2019,Трафик с планшетных ПК,2
000026,27.04.2019 - 03.05.2019,Новые пользователи,159
000027,27.04.2019 - 03.05.2019,Трафик с мобильных устройств,58
000027,27.04.2019 - 03.05.2019,Трафик с планшетных ПК,12
000027,27.04.2019 - 03.05.2019,Новые пользователи,98
000028,27.04.2019 - 03.05.2019,Трафик с мобильных устройств,112
000028,27.04.2019 - 03.05.2019,Трафик с планшетных ПК,9
000028,27.04.2019 - 03.05.2019,Новые пользователи,109
000029,27.04.2019 - 03.05.2019,Трафик с мобильных устройств,63
000029,27.04.2019 - 03.05.2019,Трафик с планшетных ПК,8
000029,27.04.2019 - 03.05.2019,Новые пользователи,136
000030,27.04.2019 - 03.05.2019,Трафик с мобильных устройств,70
000030,27.04.2019 - 03.05.2019,Трафик с планшетных ПК,6
000030,27.04.2019 - 03.05.2019,Новые пользователи,126
000031,27.04.2019 - 03.05.2019,Трафик с мобильных устройств,64
000031,27.04.2019 - 03.05.2019,Трафик с планшетных ПК,8
000031,27.04.2019 - 03.05.2019,Новые пользователи,239
000032,27.04.2019 - 03.05.2019,Трафик с мобильных устройств,67
000032,27.04.2019 - 03.05.2019,Трафик с планшетных ПК,31
000032,27.04.2019 - 03.05.2019,Новые пользователи,220
000033,27.04.2019 - 03.05.2019,Трафик с мобильных устройств,62
000033,27.04.2019 - 03.05.2019,Трафик с планшетных ПК,7
000033,27.04.2019 - 03.05.2019,Новые пользователи,262
000034,27.04.2019 - 03.05.2019,Трафик с мобильных устройств,71
000034,27.04.2019 - 03.05.2019,Трафик с планшетных ПК,1
000034,27.04.2019 - 03.05.2019,Новые пользователи,258
000035,27.04.2019 - 03.05.2019,Трафик с мобильных устройств,90
000035,27.04.2019 - 03.05.2019,Трафик с планшетных ПК,11
000035,27.04.2019 - 03.05.2019,Новые пользователи,211
000036,27.04.2019 - 03.05.2019,Трафик с мобильных устройств,96
000036,27.04.2019 - 03.05.2019,Трафик с планшетных ПК,10
000036,27.04.2019 - 03.05.2019,Новые пользователи,233
000037,27.04.2019 - 03.05.2019,Трафик с мобильных устройств,99
000037,27.04.2019 - 03.05.2019,Трафик с планшетных ПК,12
000037,27.04.2019 - 03.05.2019,Новые пользователи,131
000038,27.04.2019 - 03.05.2019,Трафик с мобильных устройств,115
000038,27.04.2019 - 03.05.2019,Трафик с планшетных ПК,0
000038,27.04.2019 - 03.05.2019,Новые пользователи,185
000039,27.04.2019 - 03.05.2019,Трафик с мобильных устройств,92
000039,27.04.2019 - 03.05.2019,Трафик с планшетных ПК,28
000039,27.04.2019 - 03.05.2019,Новые пользователи,188
000040,27.04.2019 - 03.05.2019,Трафик с мобильных устройств,194
000040,27.04.2019 - 03.05.2019,Трафик с планшетных ПК,4
000040,27.04.2019 - 03.05.2019,Новые пользователи,320
000041,27.04.2019 - 03.05.2019,Трафик с мобильных устройств,148
000041,27.04.2019 - 03.05.2019,Трафик с планшетных ПК,11
000041,27.04.2019 - 03.05.2019,Новые пользователи,194
000042,27.04.2019 - 03.05.2019,Трафик с мобильных устройств,123
000042,27.04.2019 - 03.05.2019,Трафик с планшетных ПК,3
000042,27.04.2019 - 03.05.2019,Новые пользователи,190
000043,27.04.2019 - 03.05.2019,Трафик с мобильных устройств,85
000043,27.04.2019 - 03.05.2019,Трафик с планшетных ПК,9
000043,27.04.2019 - 03.05.2019,Новые пользователи,223
000044,27.04.2019 - 03.05.2019,Трафик с мобильных устройств,75
000044,27.04.2019 - 03.05.2019,Трафик с планшетных ПК,0
