Время,Дата,Сегмент,Просмотры страниц
19:00:00,2019-04-27,Трафик с мобильных устройств,0.6914498141263941
21:00:00,2019-04-27,Трафик с мобильных устройств,0.5910780669144982
16:00:00,2019-04-28,Трафик с мобильных устройств,0.7211895910780669
19:00:00,2019-04-29,Трафик с мобильных устройств,0.5985130111524164
18:00:00,2019-04-30,Трафик с мобильных устройств,0.6319702602230484
20:00:00,2019-04-30,Трафик с мобильных устройств,0.6282527881040892
08:00:00,2019-05-01,Трафик с мобильных устройств,0.6691449814126395
12:00:00,2019-05-01,Трафик с мобильных устройств,0.5836431226765799
15:00:00,2019-05-01,Трафик с мобильных устройств,0.5724907063197026
18:00:00,2019-05-01,Трафик с мобильных устройств,0.5724907063197026
22:00:00,2019-05-01,Трафик с мобильных устройств,0.6245353159851301
04:00:00,2019-05-02,Трафик с мобильных устройств,0.7434944237918215
12:00:00,2019-05-02,Трафик с мобильных устройств,1.0
18:00:00,2019-05-02,Трафик с мобильных устройств,0.6245353159851301
09:00:00,2019-05-03,Трафик с мобильных устройств,0.6356877323420075
15:00:00,2019-05-03,Трафик с мобильных устройств,0.5985130111524164
20:00:00,2019-05-03,Трафик с мобильных устройств,0.6059479553903345
