Время,Дата,Сегмент,Просмотры страниц
19:00:00,2019-04-27,Новые пользователи,0.5103244837758112
01:00:00,2019-04-28,Новые пользователи,0.46017699115044247
16:00:00,2019-04-28,Новые пользователи,0.471976401179941
20:00:00,2019-04-28,Новые пользователи,0.46607669616519176
08:00:00,2019-04-29,Новые пользователи,0.46017699115044247
09:00:00,2019-04-29,Новые пользователи,0.640117994100295
10:00:00,2019-04-29,Новые пользователи,0.6238938053097345
11:00:00,2019-04-29,Новые пользователи,0.7713864306784661
12:00:00,2019-04-29,Новые пользователи,0.5530973451327433
13:00:00,2019-04-29,Новые пользователи,0.5058997050147492
14:00:00,2019-04-29,Новые пользователи,0.6504424778761062
16:00:00,2019-04-29,Новые пользователи,0.5339233038348082
17:00:00,2019-04-29,Новые пользователи,0.5781710914454278
07:00:00,2019-04-30,Новые пользователи,0.5176991150442478
08:00:00,2019-04-30,Новые пользователи,0.46607669616519176
09:00:00,2019-04-30,Новые пользователи,0.5722713864306784
10:00:00,2019-04-30,Новые пользователи,0.6489675516224189
11:00:00,2019-04-30,Новые пользователи,0.6061946902654868
12:00:00,2019-04-30,Новые пользователи,0.6106194690265486
13:00:00,2019-04-30,Новые пользователи,0.5309734513274337
14:00:00,2019-04-30,Новые пользователи,0.5634218289085545
15:00:00,2019-04-30,Новые пользователи,0.528023598820059
16:00:00,2019-04-30,Новые пользователи,0.556047197640118
23:00:00,2019-04-30,Новые пользователи,0.47050147492625366
08:00:00,2019-05-01,Новые пользователи,0.5796460176991151
09:00:00,2019-05-01,Новые пользователи,0.5088495575221239
10:00:00,2019-05-01,Новые пользователи,0.584070796460177
11:00:00,2019-05-01,Новые пользователи,0.7389380530973452
12:00:00,2019-05-01,Новые пользователи,0.7079646017699115
13:00:00,2019-05-01,Новые пользователи,0.7035398230088495
16:00:00,2019-05-01,Новые пользователи,0.4911504424778761
18:00:00,2019-05-01,Новые пользователи,0.5250737463126843
22:00:00,2019-05-01,Новые пользователи,0.49557522123893805
01:00:00,2019-05-02,Новые пользователи,0.47935103244837757
04:00:00,2019-05-02,Новые пользователи,0.5058997050147492
05:00:00,2019-05-02,Новые пользователи,0.46755162241887904
06:00:00,2019-05-02,Новые пользователи,0.8141592920353983
07:00:00,2019-05-02,Новые пользователи,0.7315634218289085
08:00:00,2019-05-02,Новые пользователи,0.5825958702064897
09:00:00,2019-05-02,Новые пользователи,0.6297935103244838
10:00:00,2019-05-02,Новые пользователи,0.616519174041298
11:00:00,2019-05-02,Новые пользователи,0.7064896755162242
12:00:00,2019-05-02,Новые пользователи,0.827433628318584
13:00:00,2019-05-02,Новые пользователи,0.7463126843657817
17:00:00,2019-05-02,Новые пользователи,0.5752212389380531
07:00:00,2019-05-03,Новые пользователи,0.5899705014749262
08:00:00,2019-05-03,Новые пользователи,0.5427728613569321
09:00:00,2019-05-03,Новые пользователи,1.0
10:00:00,2019-05-03,Новые пользователи,0.8495575221238938
11:00:00,2019-05-03,Новые пользователи,0.8008849557522124
12:00:00,2019-05-03,Новые пользователи,0.616519174041298
13:00:00,2019-05-03,Новые пользователи,0.775811209439528
14:00:00,2019-05-03,Новые пользователи,0.6032448377581121
15:00:00,2019-05-03,Новые пользователи,0.5781710914454278
16:00:00,2019-05-03,Новые пользователи,0.5265486725663717
19:00:00,2019-05-03,Новые пользователи,0.4896755162241888
