CMPLNT_FR_DT,Number
2010-01-01,2426
2010-01-02,1179
2010-01-03,1048
2010-01-04,1219
2010-01-05,1353
2010-01-06,1431
2010-01-07,1541
2010-01-08,1496
2010-01-09,1300
2010-01-10,1217
2010-01-11,1225
2010-01-12,1344
2010-01-13,1410
2010-01-14,1505
2010-01-15,1785
2010-01-16,1453
2010-01-17,1224
2010-01-18,1219
2010-01-19,1472
2010-01-20,1510
2010-01-21,1479
2010-01-22,1654
2010-01-23,1463
2010-01-24,1192
2010-01-25,1190
2010-01-26,1383
2010-01-27,1393
2010-01-28,1281
2010-01-29,1366
2010-01-30,1204
2010-01-31,1045
2010-02-01,1488
2010-02-02,1378
2010-02-03,1397
2010-02-04,1336
2010-02-05,1566
2010-02-06,1252
2010-02-07,1065
2010-02-08,1089
2010-02-09,1224
2010-02-10,843
2010-02-11,1100
2010-02-12,1404
2010-02-13,1275
2010-02-14,1030
2010-02-15,1019
2010-02-16,1044
2010-02-17,1219
2010-02-18,1328
2010-02-19,1350
2010-02-20,1471
2010-02-21,1180
2010-02-22,1198
2010-02-23,1232
2010-02-24,1374
2010-02-25,1098
2010-02-26,933
2010-02-27,1247
2010-02-28,1059
2010-03-01,1583
2010-03-02,1346
2010-03-03,1456
2010-03-04,1462
2010-03-05,1607
2010-03-06,1443
2010-03-07,1252
2010-03-08,1333
2010-03-09,1427
2010-03-10,1558
2010-03-11,1415
2010-03-12,1449
2010-03-13,1049
2010-03-14,1090
2010-03-15,1284
2010-03-16,1449
2010-03-17,1515
2010-03-18,1469
2010-03-19,1568
2010-03-20,1468
2010-03-21,1301
2010-03-22,1147
2010-03-23,1411
2010-03-24,1507
2010-03-25,1500
2010-03-26,1524
2010-03-27,1316
2010-03-28,1156
2010-03-29,1082
2010-03-30,1066
2010-03-31,1324
2010-04-01,1719
2010-04-02,1401
2010-04-03,1326
2010-04-04,1172
2010-04-05,1287
2010-04-06,1400
2010-04-07,1456
2010-04-08,1549
2010-04-09,1534
2010-04-10,1495
2010-04-11,1236
2010-04-12,1326
2010-04-13,1449
2010-04-14,1476
2010-04-15,1525
2010-04-16,1537
2010-04-17,1443
2010-04-18,1210
2010-04-19,1381
2010-04-20,1603
2010-04-21,1480
2010-04-22,1546
2010-04-23,1616
2010-04-24,1386
2010-04-25,1131
2010-04-26,1172
2010-04-27,1435
2010-04-28,1548
2010-04-29,1478
2010-04-30,1616
2010-05-01,1665
2010-05-02,1360
2010-05-03,1295
2010-05-04,1448
2010-05-05,1589
2010-05-06,1557
2010-05-07,1689
2010-05-08,1448
2010-05-09,1172
2010-05-10,1363
2010-05-11,1402
2010-05-12,1440
2010-05-13,1496
2010-05-14,1591
2010-05-15,1482
2010-05-16,1266
2010-05-17,1356
2010-05-18,1234
2010-05-19,1428
2010-05-20,1628
2010-05-21,1681
2010-05-22,1528
2010-05-23,1248
2010-05-24,1362
2010-05-25,1612
2010-05-26,1490
2010-05-27,1475
2010-05-28,1624
2010-05-29,1461
2010-05-30,1318
2010-05-31,1236
2010-06-01,1790
2010-06-02,1526
2010-06-03,1540
2010-06-04,1692
2010-06-05,1520
2010-06-06,1335
2010-06-07,1383
2010-06-08,1494
2010-06-09,1364
